127.0.0.1 - - [19/Nov/2019:08:27:58 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:29:24 +0800] "GET /imgs/eec8d6c0-93b2-4787-bc6c-3795174b3f61head.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:29:24 +0800] "GET /imgs/ce325cd1-fd8d-4f1e-9278-ab7ef88f0f535.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:29:24 +0800] "GET /imgs/9eba1f54-09aa-4cc5-a033-0c0e5f5567872.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:29:24 +0800] "GET /imgs/55ec30b0-a02b-40eb-92f8-442ad229bfde6.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:29:31 +0800] "GET /imgs/b6e985f0-bcc0-492e-a0ec-b7c0c9a5ce43TB2ivg7XG6qK1RjSZFmXXX0PFXa_!!3862029012.jpg_60x60q90.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:29:31 +0800] "GET /imgs/401d57ea-f77e-4d57-b8d5-ee1a19644641O1CN0185sRLm22AEJwApiNK_!!1917047079.png_430x430q90.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:29:31 +0800] "GET /imgs/483eb2c2-2bea-44b3-b69e-7264e401da28TB2ivg7XG6qK1RjSZFmXXX0PFXa_!!3862029012.jpg_60x60q90.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:29:31 +0800] "GET /imgs/658612e3-4228-436c-94f1-6225fd9e2fb4O1CN01Zt9QGZ1xKEsdqwgQi_!!1776456424.jpg_430x430q90.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:29:36 +0800] "GET /imgs/00ab0c8f-1963-4dca-9cb5-a8d4ca1ef9e84.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:29:36 +0800] "GET /imgs/11e91d4f-87b9-4193-9aa2-efd4a5f86fe62.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:29:36 +0800] "GET /imgs/88ca19eb-7f3f-4370-9e7e-f598d45592f41.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:29:36 +0800] "GET /imgs/38f7cbc1-ab6a-43c3-9c22-60a9e6e4a8535.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:29:36 +0800] "GET /imgs/390b5fe7-f39e-4de0-aa99-aaa4844a2ba76.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:29:36 +0800] "GET /imgs/148fe337-e8a2-4c6d-8abe-72e9cc8704633.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:29:36 +0800] "GET /imgs/2f91b9d5-2f4f-438b-9130-9e012859c8f91.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:29:36 +0800] "GET /imgs/2ae3e738-23d2-42ef-b4f4-0faa0cdd2127DSC00129.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:29:36 +0800] "GET /imgs/9de6b54a-006c-4f5d-8eb0-5288f77fbf16DSC00218.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:29:36 +0800] "GET /imgs/29915a95-623f-47e5-8073-c1660ba460ddDSC00035.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:43:36 +0800] "GET /irs/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:43:36 +0800] "GET /irs/login.jsp;JSESSIONID=8a0f4d2a-d312-4c7c-a286-6deedc12da44 HTTP/1.1" 200 1727
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:43:37 +0800] "GET /irs/sys/vcode HTTP/1.1" 200 2416
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:43:44 +0800] "GET /irs/login.jsp;JSESSIONID=8a0f4d2a-d312-4c7c-a286-6deedc12da44 HTTP/1.1" 200 1727
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:43:44 +0800] "GET /irs/sys/vcode HTTP/1.1" 200 2388
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:43:44 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:43:48 +0800] "POST /irs/sys/login HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:43:48 +0800] "GET /irs/sys/vcode?t=1574124228883 HTTP/1.1" 200 2479
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:43:50 +0800] "GET /irs/sys/vcode?t=1574124230006 HTTP/1.1" 200 2527
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:43:52 +0800] "POST /irs/sys/login HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:43:52 +0800] "GET /irs/sys/vcode?t=1574124232752 HTTP/1.1" 200 2400
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:43:58 +0800] "POST /irs/sys/login HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:43:58 +0800] "GET /irs/sys/index HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:43:58 +0800] "GET /irs/index.jsp HTTP/1.1" 200 4308
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:43:58 +0800] "GET /irs/sys/main HTTP/1.1" 200 4230
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:43:58 +0800] "GET /irs/sys/getMenus HTTP/1.1" 200 1551
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:43:58 +0800] "GET /irs/main/dataAccessGender HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:43:59 +0800] "GET /irs/main/getUserTotal HTTP/1.1" 200 1858
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:43:59 +0800] "GET /irs/main/getUsersToday HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:43:59 +0800] "GET /irs/main/getUsersYearWeek HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:43:59 +0800] "GET /irs/main/getUsersYestoday HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:43:59 +0800] "GET /irs/main/getUsersMonth HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:43:59 +0800] "GET /irs/favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:44:54 +0800] "GET /irs/sys/roleList HTTP/1.1" 200 1912
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:44:54 +0800] "GET /irs/sys/getRoleList?page=1&limit=10&timestamp=1574124294364 HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:44:56 +0800] "GET /irs/sys/addRole HTTP/1.1" 200 2297
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:44:56 +0800] "GET /irs/page/admin/addRole.js HTTP/1.1" 200 2285
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:44:56 +0800] "GET /irs/sys/xtreedata?timestamp=1574124296272 HTTP/1.1" 200 3124
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:45:06 +0800] "GET /irs/sys/adminList HTTP/1.1" 200 2266
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:45:06 +0800] "GET /irs/sys/getAdminList?page=1&limit=10&timestamp=1574124306606 HTTP/1.1" 200 590
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:45:11 +0800] "GET /irs/sys/editAdmin/18 HTTP/1.1" 200 4031
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:45:15 +0800] "GET /irs/layui/css/modules/layer/default/loading-2.gif HTTP/1.1" 200 1787
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:45:15 +0800] "POST /irs/sys/updAdmin HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:45:17 +0800] "GET /irs/index.jsp HTTP/1.1" 200 4308
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:45:17 +0800] "GET /irs/sys/main HTTP/1.1" 200 4230
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:45:17 +0800] "GET /irs/main/dataAccessGender HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:45:17 +0800] "GET /irs/main/getUserTotal HTTP/1.1" 200 1858
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:45:17 +0800] "GET /irs/main/getUsersToday HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:45:17 +0800] "GET /irs/main/getUsersYearWeek HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:45:17 +0800] "GET /irs/main/getUsersYestoday HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:45:17 +0800] "GET /irs/main/getUsersMonth HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:45:17 +0800] "GET /irs/sys/adminList HTTP/1.1" 200 2266
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:45:17 +0800] "GET /irs/sys/getMenus HTTP/1.1" 200 1551
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:45:17 +0800] "GET /irs/sys/getAdminList?page=1&limit=10&timestamp=1574124317320 HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:45:20 +0800] "GET /irs/sys/editAdmin/18 HTTP/1.1" 200 4031
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:45:35 +0800] "GET /irs/sys/menuList HTTP/1.1" 200 8016
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:45:35 +0800] "GET /irs/layui/lay/modules/upload.js HTTP/1.1" 200 14527
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:45:35 +0800] "GET /irs/layui/lay/modules/treeGrid.js HTTP/1.1" 200 58459
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:45:35 +0800] "GET /irs/sys/menuData?page=1&limit=10 HTTP/1.1" 200 5854
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:46:15 +0800] "GET /irs/sys/toSaveMenu/0 HTTP/1.1" 200 3059
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:46:15 +0800] "GET /irs/page/admin/menuForm.js HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:46:24 +0800] "GET /irs/sys/menuList HTTP/1.1" 200 8016
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:46:24 +0800] "GET /irs/sys/menuData?page=1&limit=10 HTTP/1.1" 200 5854
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:46:32 +0800] "GET /irs/user/addUser HTTP/1.1" 200 3879
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:46:42 +0800] "POST /irs/user/checkUserByEmail?eMail= HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:46:43 +0800] "GET /irs/user/checkUserByNickname/ HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:46:45 +0800] "GET /irs/user/userList HTTP/1.1" 200 12235
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:46:45 +0800] "GET /irs/user/getUserList?page=1&limit=10&timestamp=1574124405554 HTTP/1.1" 200 1895
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:51:21 +0800] "GET /irs/user/addUser HTTP/1.1" 200 3879
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:51:26 +0800] "GET /irs/user/addUser HTTP/1.1" 200 3879
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:51:32 +0800] "GET /irs/carousel/carouselList HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:51:36 +0800] "GET /irs/user/addUser HTTP/1.1" 200 3879
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:51:37 +0800] "GET /irs/user/userList HTTP/1.1" 200 12235
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:51:37 +0800] "GET /irs/user/getUserList?page=1&limit=10&timestamp=1574124697878 HTTP/1.1" 200 1895
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:51:39 +0800] "GET /irs/user/addUser HTTP/1.1" 200 3879
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:51:43 +0800] "GET /irs/user/addUser HTTP/1.1" 200 3879
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:51:45 +0800] "GET /irs/user/userList HTTP/1.1" 200 12235
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:51:45 +0800] "GET /irs/user/getUserList?page=1&limit=10&timestamp=1574124705168 HTTP/1.1" 200 1895
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:51:46 +0800] "GET /irs/user/getUserList?page=1&limit=10&timestamp=1574124705168&nickname=&sex=-1&status=-1&createTimeStart=&createTimeEnd= HTTP/1.1" 200 1895
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:51:59 +0800] "GET /irs/user/editUser/35 HTTP/1.1" 200 3604
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:51:59 +0800] "GET /irs/page/user/editUser.js HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:54:24 +0800] "GET /irs/user/editUser/35 HTTP/1.1" 200 3604
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:54:39 +0800] "GET /irs/sys/roleList HTTP/1.1" 200 1912
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:54:39 +0800] "GET /irs/sys/getRoleList?page=1&limit=10&timestamp=1574124879775 HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:54:42 +0800] "GET /irs/sys/editRole?roleId=1&roleName=%E8%B6%85%E7%BA%A7%E7%AE%A1%E7%90%86%E5%91%98&roleRemark=%E8%B6%85%E7%BA%A7%E7%AE%A1%E7%90%86%E5%91%98 HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:54:42 +0800] "GET /irs//page/admin/editRole.js HTTP/1.1" 200 2841
0:0:0:0:0:0:0:1 - - [19/Nov/2019:08:54:42 +0800] "GET /irs/sys/xtreedata?roleId=1&timestamp=1574124882212 HTTP/1.1" 200 3085
0:0:0:0:0:0:0:1 - - [19/Nov/2019:09:10:59 +0800] "GET /irs/sys/editRole?roleId=1&roleName=%E8%B6%85%E7%BA%A7%E7%AE%A1%E7%90%86%E5%91%98&roleRemark=%E8%B6%85%E7%BA%A7%E7%AE%A1%E7%90%86%E5%91%98 HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [19/Nov/2019:09:10:59 +0800] "GET /irs/sys/xtreedata?roleId=1&timestamp=1574125859117 HTTP/1.1" 200 3085
0:0:0:0:0:0:0:1 - - [19/Nov/2019:09:11:02 +0800] "GET /irs/sys/checkRoleName?roleName=%E8%B6%85%E7%BA%A7%E7%AE%A1%E7%90%86%E5%91%98&roleId=1 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Nov/2019:09:11:06 +0800] "GET /irs/sys/addRole HTTP/1.1" 200 2297
0:0:0:0:0:0:0:1 - - [19/Nov/2019:09:11:06 +0800] "GET /irs/sys/xtreedata?timestamp=1574125866656 HTTP/1.1" 200 3124
